"","Crop","Variety","Intended Use","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"28","CRP","CP15B Marginal Pas","CP15B Marginal Pas",NA,NA,NA,4153.34,NA,NA,NA,NA,NA,NA
"29","CRP","CP16 Shelterbelt E","CP16 Shelterbelt E",12247.06,12372.12,2238,2141.95,NA,NA,NA,NA,NA,NA
"30","CRP","CP16 SHELTERBELT EST",NA,NA,NA,NA,NA,1661.49,1576.68,1283.51,1019.19,NA,NA
"31","CRP","CP16A Shelterbelt","CP16A Shelterbelt",NA,NA,NA,36294.12,NA,NA,NA,NA,NA,NA
"32","CRP","CP16A SHELTERBELT EST NONEASE",NA,NA,NA,NA,NA,35266.15,33816.05,33291.36,30703.04,26249.11,23906
"33","CRP","CP17 Living Snow F","CP17 Living Snow F",3058.01,3284.68,1315.06,897.38,NA,NA,NA,NA,NA,NA
"34","CRP","CP17 LIVING SNOW FENCE",NA,NA,NA,NA,NA,691.95,576.98,557.56,523.5,NA,NA
"35","CRP","CP17A Living Snow","CP17A Living Snow",NA,NA,NA,5527.65,NA,NA,NA,NA,NA,NA
"36","CRP","CP17A LIVING SNOW FENCE NONEASE",NA,NA,NA,NA,NA,6030.35,6179.76,6163.64,6058.9,5283.4,4798.12
"37","CRP","CP18 EST PERM VEG REDUCE SALINITY",NA,NA,NA,NA,NA,8968.33,8595.59,8387.11,6561.13,NA,NA
"38","CRP","CP18 Estab perm ve","CP18 Estab perm ve",131152.38,131231.64,7553.39,8887.01,NA,NA,NA,NA,NA,NA
"39","CRP","CP18A EST PERM SALT TOL VEG CVR",NA,NA,NA,NA,NA,575.26,574.31,608.73,543.29,372.92,281.96
"40","CRP","CP18A Establish of","CP18A Establish of",NA,NA,NA,709,NA,NA,NA,NA,NA,NA
"41","CRP","CP18B EST PERM VEG REDUC SAL NONEAS",NA,NA,NA,NA,NA,105730.65,103735.57,103541.62,104171.96,102376.02,82157.71
"42","CRP","CP18B Estab of Per","CP18B Estab of Per",NA,NA,NA,106099,NA,NA,NA,NA,NA,NA
"43","CRP","CP18C EST PERM SALT TOL VEG CVR NON",NA,NA,NA,NA,NA,114198.27,109066.64,108781.41,110781.44,110791.88,103910.45
"44","CRP","CP18C Estab of Per","CP18C Estab of Per",NA,NA,NA,118588.96,NA,NA,NA,NA,NA,NA
"45","CRP","CP19 Alley croppin","CP19 Alley croppin",1363.5,1542.31,30.98,16.28,NA,NA,NA,NA,NA,NA
"46","CRP","CP19 ALLEY CROPPING",NA,NA,NA,NA,NA,7.38,6.22,70.89,40.42,NA,NA
"47","CRP","CP2 EST PERM NATIVE GRASSES",NA,NA,NA,NA,NA,7014249.4,6697997.96,6287576.78,5932920.38,NA,NA
"48","CRP","CP2 Establishment","CP2 Establishment",7303571.14,6870947.47,5944773.95,6418028.72,NA,NA,NA,NA,NA,NA
"49","CRP","CP20 Alternate Per","CP20 Alternate Per",1354.72,1381.71,751.21,749.49,NA,NA,NA,NA,NA,NA
"50","CRP","CP20 ALTERNATE PERENNIAL",NA,NA,NA,NA,NA,577.21,299.75,298.86,462.54,NA,NA
"51","CRP","CP21 Filter Stips","CP21 Filter Stips",1008621.64,997995.16,1027315.66,995077.04,NA,NA,NA,NA,NA,NA
"52","CRP","CP21 FILTER STRIPS",NA,NA,NA,NA,NA,923063.51,873978.21,846939.68,818719.222,NA,NA
"53","CRP","CP22 Riparian Buff","CP22 Riparian Buff",802499.51,820556.7,879299.41,876871.32,NA,NA,NA,NA,NA,NA
"54","CRP","CP22 RIPARIAN BUFFER",NA,NA,NA,NA,NA,857713.74,834572.47,811921.02,772184.4,NA,NA
"55","CRP","CP23 Wetland Resto","CP23 Wetland Resto",1322673.85,1295309.46,1424543.93,1413289.31,NA,NA,NA,NA,NA,NA
"56","CRP","CP23 WETLAND RESTORATION",NA,NA,NA,NA,NA,1067558.15,891828.3,690297.06,643271.89,NA,NA
"57","CRP","CP23A Wetland Rest","CP23A Wetland Rest",NA,NA,NA,195591.82,NA,NA,NA,NA,NA,NA
"58","CRP","CP23A WETLAND RESTOR NONFLOODPL",NA,NA,NA,NA,NA,262736.52,298020.87,365247.84,458912.9,506580.45,573759.74
"59","CRP","CP24 Cross Wind Tr","CP24 Cross Wind Tr",2083.44,1551.98,1352.77,1103.23,NA,NA,NA,NA,NA,NA
"60","CRP","CP24 EST PERM VEG CVR CROSS WIND TR",NA,NA,NA,NA,NA,1016.3,643.71,311.57,306.55,NA,NA
"61","CRP","CP25 Rare and Decl","CP25 Rare and Decl",1117504.23,1084437.14,1469805.91,1568250.92,NA,NA,NA,NA,NA,NA
"62","CRP","CP25 RARE AND DECLINING HABITAT",NA,NA,NA,NA,NA,1713692.59,1681956.61,1543407.04,1429641.14,NA,NA
"63","CRP","CP26 Sediment Rete","CP26 Sediment Rete",NA,NA,600.41,703.59,NA,NA,NA,NA,NA,NA
"64","CRP","CP26 SEDIMT RETN CONTRL STRUCTR MI",NA,NA,NA,NA,NA,577.77,349.62,97.11,77.63,NA,NA
"65","CRP","CP27 Farmable Wetl","CP27 Farmable Wetl",48615.89,51492.59,64555.6,69642.1,NA,NA,NA,NA,NA,NA
"66","CRP","CP27 FWP WETLAND",NA,NA,NA,NA,NA,85398.21,87812.92,93793.31,102429.42,NA,NA
"67","CRP","CP28 Farmable Wetl","CP28 Farmable Wetl",135052.53,162591.24,196162.91,219624.02,NA,NA,NA,NA,NA,NA
"68","CRP","CP28 FWP BUFFER",NA,NA,NA,NA,NA,225870.71,224169.75,237706.16,265889.829,NA,NA
"69","CRP","CP29 Marginal Past","CP29 Marginal Past",NA,NA,NA,116558.39,NA,NA,NA,NA,NA,NA
"70","CRP","CP29 MPL WL HABITAT BUFFER",NA,NA,NA,NA,NA,117608.39,119379.55,119877.98,119820.8,NA,NA
"71","CRP","CP3 Tree Planting","CP3 Tree Planting",679761.82,641895.43,354433.02,428525.02,NA,NA,NA,NA,NA,NA
"72","CRP","CP3 TREE PLANTING",NA,NA,NA,NA,NA,536319.9,546756.19,525766.65,506811.29,NA,NA
"73","CRP","CP30 Marginal Wetl","CP30 Marginal Wetl",410180.18,412283.53,605410.43,45775.34,NA,NA,NA,NA,NA,NA
"74","CRP","CP30 MPL WETLAND BUFFER",NA,NA,NA,NA,NA,46344.78,47242.25,46285.75,44583.94,NA,NA
"75","CRP","CP31 Bottomland Ti","CP31 Bottomland Ti",23032.75,30768.72,1566.9,80883.16,NA,NA,NA,NA,NA,NA
"76","CRP","CP31 BOTTOMLAND TIMBR EST ON WETLD",NA,NA,NA,NA,NA,97754.45,105700.05,126584.6,141599.1,NA,NA
"77","CRP","CP32 Expired Hardw","CP32 Expired Hardw",5341.77,5378.24,374.68,8745.58,NA,NA,NA,NA,NA,NA
"78","CRP","CP32 EXPIRED HARDWOOD TREES",NA,NA,NA,NA,NA,8779.39,8719,8799.21,6852.75,NA,NA
"79","CRP","CP33 HABITAT BUFRS UPLAND BIRDS",NA,NA,NA,NA,NA,247204.36,249400.66,258835.36,254742.39,NA,NA
"80","CRP","CP33 Habitat for U","CP33 Habitat for U",88939.84,107750.44,1064.31,245520.78,NA,NA,NA,NA,NA,NA
"81","CRP","CP34 Flood Control","CP34 Flood Control",362.98,345.45,9.4,204.48,NA,NA,NA,NA,NA,NA
"82","CRP","CP34 FLOOD CONTROL SYSTEM",NA,NA,NA,NA,NA,204.45,166.29,166.33,113.78,NA,NA
"83","CRP","CP35","CP35",46231.63,35764.03,3343.35,NA,NA,NA,NA,NA,NA,NA
"84","CRP","CP35A EFCRP LONGLEAF PINE NEW",NA,NA,NA,NA,NA,24768.48,25021.38,24651.26,22398.26,21520.18,11031.15
"85","CRP","CP35A Emergency Fo","CP35A Emergency Fo",NA,NA,NA,24981.83,NA,NA,NA,NA,NA,NA
"86","CRP","CP35B EFCRP LONGLEAF PINE EXIST",NA,NA,NA,NA,NA,7843,7962.16,8905.92,8840.76,8510.31,5465.06
"87","CRP","CP35B Emergency Fo","CP35B Emergency Fo",NA,NA,NA,10002.3,NA,NA,NA,NA,NA,NA
"88","CRP","CP35C EFCRP BOTTMLD HDWD NEW",NA,NA,NA,NA,NA,9041.72,8512.16,9192.31,8994.67,7745.88,2164.17
"89","CRP","CP35C Emerg. Fores","CP35C Emerg. Fores",NA,NA,NA,8820,NA,NA,NA,NA,NA,NA
"90","CRP","CP35D EFCRP BOTTMLD HDWD EXIST",NA,NA,NA,NA,NA,23367.65,23066.1,23137.6,22766.64,22143.13,11231.41
"91","CRP","CP35D Emerg. Fores","CP35D Emerg. Fores",NA,NA,NA,23006.26,NA,NA,NA,NA,NA,NA
"92","CRP","CP35E EFCRP SOFTWOOD NEW",NA,NA,NA,NA,NA,92129.35,93927.29,92357.43,91803.81,88206.28,35257.51
"93","CRP","CP35E Emergency Fo","CP35E Emergency Fo",NA,NA,NA,91489.53,NA,NA,NA,NA,NA,NA
"94","CRP","CP35F EFCRP SOFTWOOD EXIST",NA,NA,NA,NA,NA,28383.22,28352.53,27136.92,25960.8,23923.32,7021.81
"95","CRP","CP35F Emergency Fo","CP35F Emergency Fo",NA,NA,NA,28581.84,NA,NA,NA,NA,NA,NA
"96","CRP","CP35G EFCRP UPLAND HDWD NEW",NA,NA,NA,NA,NA,1466.6,1813.14,1530.26,1531.55,1357.4,301.13
"97","CRP","CP35G Emergency Fo","CP35G Emergency Fo",NA,NA,NA,1721,NA,NA,NA,NA,NA,NA
"98","CRP","CP35H EFCRP UPLAND HDWD EXIST",NA,NA,NA,NA,NA,1682.34,2037.54,1981.49,1955.39,1665.95,951.99
"99","CRP","CP35H Emergency Fo","CP35H Emergency Fo",NA,NA,NA,1997.1,NA,NA,NA,NA,NA,NA
"100","CRP","CP35I EFCRP MIXED TREES EXIST",NA,NA,NA,NA,NA,27581.17,28409.12,28831.82,27528.7,25847.27,12471.08
"101","CRP","CP35I Emergency Fo","CP35I Emergency Fo",NA,NA,NA,27877.97,NA,NA,NA,NA,NA,NA
"102","CRP","CP36 Longleaf Pine","CP36 Longleaf Pine",323.36,286.86,NA,111721.68,NA,NA,NA,NA,NA,NA
"103","CRP","CP36 LONGLEAF PINE EST",NA,NA,NA,NA,NA,116929.54,119360.93,139113.22,158274.73,NA,NA
"104","CRP","CP37 Duck Nesting","CP37 Duck Nesting",76003.2,83609.07,95062.34,169932.52,NA,NA,NA,NA,NA,NA
"105","CRP","CP37 DUCK NESTING HABITAT",NA,NA,NA,NA,NA,230167.29,267129.44,298404.37,366253.43,NA,NA
"106","CRP","CP38","CP38",145844.02,185924.14,136828.16,NA,NA,NA,NA,NA,NA,NA
"107","CRP","CP38A SAFE BUFFERS",NA,NA,NA,NA,NA,3543.08,3826.74,3583.25,3749.42,5598.87,5140.42
"108","CRP","CP38A St. Acres fo","CP38A St. Acres fo",NA,NA,NA,4007.68,NA,NA,NA,NA,NA,NA
"109","CRP","CP38B SAFE WETLANDS",NA,NA,NA,NA,NA,3540.91,4446.85,5776.33,6388.89,6374.27,10050.3
"110","CRP","CP38B St. Acrs for","CP38B St. Acrs for",NA,NA,NA,3575.15,NA,NA,NA,NA,NA,NA
"111","CRP","CP38C SAFE TREES",NA,NA,NA,NA,NA,16333.26,17405.47,20714.14,23113.2,23932.32,28021.61
"112","CRP","CP38C State Acres","CP38C State Acres",NA,NA,NA,14823.1,NA,NA,NA,NA,NA,NA
"113","CRP","CP38D SAFE LONGLEAF PINE",NA,NA,NA,NA,NA,633.13,611.3,540.76,519.36,520.24,975.17
"114","CRP","CP38D St Acrs for","CP38D St Acrs for",NA,NA,NA,646.51,NA,NA,NA,NA,NA,NA
"115","CRP","CP38E SAFE GRASS",NA,NA,NA,NA,NA,651845.47,786903.93,948128,1279477.22,1397145.18,1903383.42
"116","CRP","CP38E State Acres","CP38E State Acres",NA,NA,NA,582820.98,NA,NA,NA,NA,NA,NA
"117","CRP","CP39 FWP Construct","CP39 FWP Construct",550.29,383.27,95.97,300.06,NA,NA,NA,NA,NA,NA
"118","CRP","CP39 FWP CONSTRUCTED WETLAND",NA,NA,NA,NA,NA,364.03,469.86,447.52,374.6,NA,NA
"119","CRP","CP3A Hardwood Tree","CP3A Hardwood Tree",NA,NA,NA,613357.99,NA,NA,NA,NA,NA,NA
"120","CRP","CP3A HARDWOOD TREE PLANTING",NA,NA,NA,NA,NA,584392.49,567640.45,418739.78,311570.54,314306.21,288420.67
"121","CRP","CP4 Permanent Wild","CP4 Permanent Wild",658273.67,583985.03,134395.87,118600.64,NA,NA,NA,NA,NA,NA
"122","CRP","CP4 PERMANENT WL HABITAT",NA,NA,NA,NA,NA,56489.75,45883.12,37481.96,31267.37,NA,NA
"123","CRP","CP40 FWP Aquacultu","CP40 FWP Aquacultu",11899.13,14862.79,92.8,16402.96,NA,NA,NA,NA,NA,NA
"124","CRP","CP40 FWP AQUACULTURE WETLD RESTOR",NA,NA,NA,NA,NA,16210.54,17001.11,16849.27,17903.03,NA,NA
"125","CRP","CP41 FWP Flooded P","CP41 FWP Flooded P",27247.83,35555.36,59937.72,8491.39,NA,NA,NA,NA,NA,NA
"126","CRP","CP41 FWP FLOODED PRAIRIE WETLD",NA,NA,NA,NA,NA,11556.19,12333.46,13686.35,16698.02,NA,NA
"127","CRP","CP42 Pollinator Ha","CP42 Pollinator Ha",28529.9,26066.64,36659.14,17190.86,NA,NA,NA,NA,NA,NA
"128","CRP","CP42 POLLINATOR HABITAT",NA,NA,NA,NA,NA,52142.04,66761.31,95003.72,239413.49,NA,NA
"129","CRP","CP43","CP43",4024.01,4132.04,4855.38,NA,NA,NA,NA,NA,NA,NA
"130","CRP","CP44","CP44",13721.93,13763.96,107854.92,NA,NA,NA,NA,NA,NA,NA
"131","CRP","CP45","CP45",92472.83,86776.55,121289.57,NA,NA,NA,NA,NA,NA,NA
"132","CRP","CP46","CP46",1283747.5,1177681.64,2129654.79,NA,NA,NA,NA,NA,NA,NA
"133","CRP","CP47","CP47",4094.38,3712.55,4506.59,NA,NA,NA,NA,NA,NA,NA
"134","CRP","CP48","CP48",104465.94,108254.26,114575.9,NA,NA,NA,NA,NA,NA,NA
"135","CRP","CP49","CP49",18804.67,20767.01,45274.67,NA,NA,NA,NA,NA,NA,NA
"136","CRP","CP4A PERM WL HABITAT (CORRIDOR)",NA,NA,NA,NA,NA,790.86,593.73,407.15,426.27,454.3,364.34
"137","CRP","CP4A Permanent Wil","CP4A Permanent Wil",NA,NA,NA,1454.24,NA,NA,NA,NA,NA,NA
"138","CRP","CP4B PERM WL (CORRIDOR) NONEASE",NA,NA,NA,NA,NA,2582.07,2305.39,1923.05,1678.8,1372.03,1073.74
"139","CRP","CP4B Permanent Wil","CP4B Permanent Wil",NA,NA,NA,3416.34,NA,NA,NA,NA,NA,NA
"140","CRP","CP4D  Permanent Wi","CP4D  Permanent Wi",NA,NA,NA,2179926.67,NA,NA,NA,NA,NA,NA
"141","CRP","CP4D PERM WL HABITAT NONEASE",NA,NA,NA,NA,NA,2194824.49,2047732.51,1883993.96,1801496.1,1634361.985,1530553.9
"142","CRP","CP5 Field Windbrea","CP5 Field Windbrea",28880.98,32614.54,5604.24,5003.43,NA,NA,NA,NA,NA,NA
"143","CRP","CP5 FIELD WINDBREAK EST",NA,NA,NA,NA,NA,4185.61,3960.33,3597.17,3259.37,NA,NA
"144","CRP","CP50","CP50",18991.3,23213.15,74078.34,NA,NA,NA,NA,NA,NA,NA
"145","CRP","CP51","CP51",36030.34,50150.27,157652.13,NA,NA,NA,NA,NA,NA,NA
"146","CRP","CP52","CP52",3001.2,3209.95,8992.32,NA,NA,NA,NA,NA,NA,NA
"147","CRP","CP53","CP53",102982.4,99302.07,240985.78,NA,NA,NA,NA,NA,NA,NA
"148","CRP","CP54","CP54",3881.18,4485.63,235.82,NA,NA,NA,NA,NA,NA,NA
"149","CRP","CP55","CP55",9540.85,12114.7,25567.37,NA,NA,NA,NA,NA,NA,NA
"150","CRP","CP56","CP56",2809.4,5579.1,8130.71,NA,NA,NA,NA,NA,NA,NA
"151","CRP","CP57","CP57",6455.3,7434.39,8856.8,NA,NA,NA,NA,NA,NA,NA
"152","CRP","CP58","CP58",14157.4,16925.29,22961.13,NA,NA,NA,NA,NA,NA,NA
"153","CRP","CP59","CP59",65843.15,83407.58,90438.54,NA,NA,NA,NA,NA,NA,NA
"154","CRP","CP5A Field Windbre","CP5A Field Windbre",NA,NA,NA,95845.3,NA,NA,NA,NA,NA,NA
"155","CRP","CP5A FIELD WINDBREAK NONEASE",NA,NA,NA,NA,NA,94176.6,91369.54,90811.67,87351.64,80624.86,76020.81
"156","CRP","CP6 Diversions","CP6 Diversions",3755.59,4759.29,2156.8,180.31,NA,NA,NA,NA,NA,NA
"157","CRP","CP6 DIVERSIONS",NA,NA,NA,NA,NA,111.82,91.37,88.33,88.33,NA,NA
"158","CRP","CP60","CP60",21330.52,25829.49,28155.12,NA,NA,NA,NA,NA,NA,NA
"159","CRP","CP61","CP61",1235.9,1455.4,1906.9,NA,NA,NA,NA,NA,NA,NA
"160","CRP","CP62","CP62",1260.93,1920.53,1889.8,NA,NA,NA,NA,NA,NA,NA
"161","CRP","CP63","CP63",19317.62,25125.1,28004.32,NA,NA,NA,NA,NA,NA,NA
"162","CRP","CP64","CP64",58091.96,71281.15,103678.82,NA,NA,NA,NA,NA,NA,NA
"163","CRP","CP65","CP65",27207.81,45059.49,156995.02,NA,NA,NA,NA,NA,NA,NA
"164","CRP","CP66","CP66",500.28,806.48,3724.72,NA,NA,NA,NA,NA,NA,NA
"165","CRP","CP67","CP67",744.38,935.67,3520.25,NA,NA,NA,NA,NA,NA,NA
"166","CRP","CP68","CP68",2476.9,5131.58,14081.92,NA,NA,NA,NA,NA,NA,NA
"167","CRP","CP69","CP69",18,22.31,558.08,NA,NA,NA,NA,NA,NA,NA
"168","CRP","CP7 Erosion Contro","CP7 Erosion Contro",9371.71,9102.1,774.92,87.36,NA,NA,NA,NA,NA,NA
"169","CRP","CP7 EROSION CONTROL STRUCTURE",NA,NA,NA,NA,NA,32.39,28.01,25.9,23.89,NA,NA
"170","CRP","CP70","CP70",95785.67,132361.36,451569.63,NA,NA,NA,NA,NA,NA,NA
"171","CRP","CP71","CP71",NA,7.9,378.09,NA,NA,NA,NA,NA,NA,NA
"172","CRP","CP72","CP72",NA,NA,11046.58,NA,NA,NA,NA,NA,NA,NA
"173","CRP","CP73","CP73",NA,12.4,6623.4,NA,NA,NA,NA,NA,NA,NA
"174","CRP","CP74","CP74",NA,NA,1188.66,NA,NA,NA,NA,NA,NA,NA
"175","CRP","CP8 Grass Waterway","CP8 Grass Waterway",36891.86,39931.16,7257.25,7322.9,NA,NA,NA,NA,NA,NA
"176","CRP","CP8 GRASS WATERWAYS",NA,NA,NA,NA,NA,6442.98,5770.07,5483.85,5477.11,NA,NA
"177","CRP","CP8A Grass Waterwa","CP8A Grass Waterwa",NA,NA,NA,135850.8,NA,NA,NA,NA,NA,NA
"178","CRP","CP8A GRASS WATERWAY NONEASE",NA,NA,NA,NA,NA,131095.7,127041.29,126168.26,125708.91,124341.27,122112.72
"179","CRP","CP9 Shallow Water","CP9 Shallow Water",49630.9,43093.72,41056.99,36830.48,NA,NA,NA,NA,NA,NA
"180","CRP","CP9 SHALLOW WATER AREAS FOR WL",NA,NA,NA,NA,NA,33093.05,30658.25,29932.43,29097.85,NA,NA
"181","CRP",NA,NA,47.7,47.7,NA,NA,NA,NA,NA,NA,19154277.971,17784109.018
