"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BUCKWHEAT",236,248,309,255,248,230,310,261,242,212,236,270,202,211,233
"CABBAGE",816,827,1250,1228,1071,1072,1133,1189,1152,1125,1010,1027,1088,1019,1047
"CACA0",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"CACAO",0,0,0,0,0,0,0,0,0,0,0,10,7,12,13
"CACTUS",3,3,4,1,2,2,2,0,0,4,2,8,4,3,5
"CAIMITO",4,2,6,4,4,3,5,5,3,4,4,3,3,4,3
"CALABAZA MELON",4,1,0,4,1,0,0,2,3,1,0,2,0,2,1
"CALALOO",4,4,12,8,11,8,11,11,11,10,4,6,6,5,4
"CAMELINA",92,79,76,60,40,28,25,19,25,22,19,16,34,49,106
"CANARY MELON",4,5,24,9,16,16,13,9,10,15,10,13,19,9,15
"CANARY SEED",2,0,1,3,5,3,2,4,2,1,1,1,1,2,0
"CANEBERRIES",760,763,1186,1159,1159,1146,1319,1395,1389,1355,1263,1241,1152,1143,1209
"CANISTEL",0,0,2,0,0,0,0,0,2,0,0,2,2,2,4
"CANNABIS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"CANOLA",393,416,527,525,592,665,716,546,597,559,540,506,476,569,567
"CANTALOUPES",828,780,1147,1081,974,915,943,958,897,857,782,809,788,774,794
"CARAMBOLA (STAR FRUIT)",6,6,10,11,9,8,10,8,10,11,8,10,6,12,10
"CARDOON",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CARROTS",304,320,533,513,487,468,488,516,499,441,428,427,429,433,444
"CASABA MELON",2,4,7,4,2,9,2,9,4,3,5,0,2,0,0
"CASHEW",2,1,1,1,2,1,1,1,1,1,1,2,1,1,1
"CASSAVA",7,11,11,11,6,8,12,13,11,10,14,13,5,7,11
"CAULIFLOWER",235,226,338,340,294,274,329,330,305,302,235,262,274,237,269
"CELERIAC",15,18,29,29,18,21,28,33,30,30,29,27,28,28,28
"CELERY",70,64,126,102,89,72,93,108,91,69,70,65,79,76,82
"CHERIMOYA",4,5,7,8,9,5,7,7,8,13,9,7,9,7,10
"CHERRIES",352,352,484,492,491,484,508,522,537,526,536,534,502,503,484
"CHESTNUTS",32,36,44,53,49,58,73,74,75,84,84,80,84,86,97
"CHIA",1,1,0,0,9,7,3,6,5,4,1,1,1,0,1
"CHICORY/RADICCHIO",21,26,46,27,28,29,26,36,24,31,21,25,25,22,33
"CHINESE BITTER MELON",6,5,10,9,4,5,12,9,8,6,4,9,7,4,1
"CHRISTMAS TREES",751,738,1011,979,1016,1048,1099,1189,1151,1166,1202,1241,1277,1379,1537
"CHUFAS",0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"CHUFES",6,4,8,4,7,3,2,3,3,3,3,5,0,0,0
"CINNAMON",2,1,1,1,0,0,0,0,0,0,1,1,1,1,2
"CITRON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CITRON MELON",1,1,5,5,2,2,1,0,0,2,2,0,0,0,0
"CLOVER",1529,1486,1819,1774,1659,1753,1872,1836,1770,1669,1669,1645,1479,1434,1371
"COCONUTS",4,3,10,8,8,4,4,8,8,10,10,10,9,16,16
"COFFEE",17,14,19,20,21,15,16,17,17,18,30,18,17,19,24
"COMMERCIAL GARDEN",0,0,0,220,235,266,308,336,0,0,0,0,0,0,0
"CONSERVATION STEWARDSHIP PROGR",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSERVATION STEWARDSHIP PROGRAM",0,0,77,118,131,146,139,173,173,197,257,284,327,343,339
"CORN",8897,8705,13187,11267,12597,11955,12429,11933,12832,12403,14336,13225,12203,12185,11782
"COTTON  ELS",0,0,0,0,0,0,0,0,70,67,75,113,97,112,0
"COTTON  UPLAND",0,0,0,0,0,0,0,0,1571,1543,1867,1703,1620,1551,0
"COTTON- ELS",0,0,0,62,50,90,101,75,0,0,0,0,0,0,0
"COTTON- Upland",0,0,0,1362,1486,1423,1547,1457,0,0,0,0,0,0,0
"COTTON, ELS",19,20,54,0,0,0,0,0,0,0,0,0,0,0,126
"COTTON, Upland",0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0
"COTTON, UPLAND",931,830,0,0,0,0,0,0,0,0,0,0,0,0,1562
"COVER CROP",0,0,0,0,0,0,0,0,2165,2357,3818,2414,5161,4898,4409
"CRAMBE",7,1,1,2,3,1,1,0,0,0,2,2,0,0,0
"CRANBERRIES",44,43,102,82,88,85,84,74,64,63,98,84,74,79,76
"CRENSHAW MELON",8,11,12,10,15,13,15,8,12,14,13,17,10,6,10
"CRP",24107,24205,35450,36050,29243,28846,28843,28843,11904,11726,27929,27462,25854,25463,24658
"CRUSTACEAN",63,59,95,94,82,72,73,77,78,70,74,70,75,62,81
"CUCUMBERS",1028,1018,1563,1596,1359,1250,1340,1393,1322,1272,1187,1160,1187,1179,1216
"CURRANTS",38,35,41,44,46,52,46,56,53,54,54,53,44,39,44
"DASHEEN",12,12,9,11,6,11,13,10,13,7,12,12,6,10,15
"DATES",5,7,13,11,11,8,9,11,11,10,11,9,9,9,10
"DURIAN",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"EGGPLANT",403,404,655,659,558,489,579,581,531,565,492,466,503,481,508
"EINKORN",0,1,3,3,6,7,7,9,10,8,7,13,20,19,21
"ELDERBERRIES",8,12,26,33,37,41,32,43,49,51,50,60,79,99,114
"EMERGENCY WATERSHED/FLOODPLAIN",5,17,41,40,42,48,47,52,50,49,50,47,48,46,46
"EMMER",5,11,7,9,8,8,8,10,7,8,4,7,11,6,9
"EQIP",55,54,89,112,120,107,128,127,133,153,163,168,220,235,258
"FALLOW",2553,2535,5279,4253,4286,3770,4382,4533,3785,3095,2876,2805,2591,2558,2519
"FIGS",24,22,44,34,48,42,43,37,51,56,68,52,66,64,61
"FINFISH",157,156,308,288,322,332,299,312,306,273,247,267,254,314,321
"FLAX",184,207,218,190,186,194,204,176,210,170,176,215,178,206,166
"FLOWERS",857,798,1369,1119,1112,1003,1027,1150,1360,1371,1203,1374,1483,1659,1962
"FORAGE SOYBEAN/SORGHUM",110,93,82,69,81,64,43,49,45,52,34,41,37,29,44
"GAILON",1,2,6,1,1,3,2,1,2,4,0,0,1,2,0
"GARDEN  COMMERCIAL",0,0,0,0,0,0,0,0,341,347,354,360,392,406,0
"GARDEN  HOME",0,0,0,0,0,0,0,0,1641,1521,1507,1449,1412,1372,0
"GARDEN, COMMERCIAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,424
"GARDEN, HOME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306
"GARLIC",152,158,248,262,232,216,239,268,272,247,265,260,312,309,281
"GENIP",1,1,2,1,1,2,3,3,5,3,4,3,1,3,2
"GINGER",5,5,8,6,8,8,13,7,10,9,10,11,12,23,25
"GINSENG",21,22,21,17,21,17,22,19,21,16,21,23,23,20,19
"GOOSEBERRIES",31,29,46,40,48,51,55,52,43,40,37,36,32,31,28
"GOURDS",305,283,385,374,331,291,293,316,286,257,262,260,262,234,252
"GRAPEFRUIT",43,42,68,50,48,60,87,76,66,155,104,92,84,113,113
"GRAPES",3007,2973,5013,5076,5395,5985,6123,6105,6062,6361,6517,6253,6283,6093,6106
"GRASS",24807,24106,39123,35230,33383,33461,34348,34885,35088,35807,35923,35911,35301,35096,34966
"GRASSLAND RESERVE PROGRAM",363,398,691,706,740,703,626,545,519,507,487,452,388,355,337
"GREENS",1066,1063,1696,1661,1528,1469,1668,1848,1568,1595,1370,1374,1469,1503,1536
"GROUND CHERRY",0,0,0,3,2,1,9,6,9,7,5,4,10,9,7
"GUAMABANA/SOURSOP",4,4,8,7,9,7,9,14,10,15,13,13,15,15,21
"GUAR",12,9,13,55,148,44,27,33,34,20,25,21,3,7,7
"GUAVA",8,4,10,12,10,13,9,15,12,17,11,16,14,19,21
"GUAVABERRY",1,1,2,3,1,0,1,1,1,0,1,3,3,5,3
"GUAYULE",4,5,8,8,10,6,6,8,6,6,4,4,4,2,4
"HAZEL NUTS",26,26,42,51,48,48,60,68,65,79,93,95,85,96,106
"HEMP",0,0,0,0,0,0,0,0,0,0,1441,2151,1679,2044,1725
"HERBS",732,805,1180,1207,1091,971,1123,1170,1133,1111,1062,1040,1176,1235,1274
"HESPERALOE",2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
"HOME GARDEN",1698,1717,2016,1981,1862,1750,1740,1724,0,0,0,0,0,0,0
"HONEY",215,247,0,628,484,1528,1756,1844,1990,2182,2318,2270,2184,2190,2382
"HONEYBERRIES",0,0,0,0,0,0,7,8,16,17,26,27,24,24,31
"HONEYDEW",73,67,132,102,124,97,110,95,81,87,97,91,106,89,103
"HOPS",10,19,38,59,75,113,159,210,252,297,283,272,231,211,180
"HORSERADISH",24,27,35,37,33,36,35,28,28,29,31,30,40,40,40
"HUCKLEBERRIES",0,0,3,2,2,2,2,2,2,3,3,5,4,7,6
"HYBRID POPLAR TREES",0,0,0,2,4,6,8,6,6,6,9,5,6,5,5
"IDLE",0,0,0,0,0,0,0,0,3910,4209,4260,4304,4481,4520,4533
"INDIGO",1,1,0,2,1,1,1,3,2,3,6,5,7,7,3
"INDUSTRIAL HEMP",0,0,0,0,0,0,48,89,187,312,0,0,0,0,0
"INDUSTRIAL RICE",0,1,2,0,2,2,2,0,0,0,0,2,2,0,0
"ISRAEL MELONS",4,3,2,14,11,6,5,3,9,3,3,4,3,1,3
"JACK FRUIT",6,6,10,9,8,5,6,10,10,12,7,11,7,8,4
"JERUSALEM ARTICHOKES",5,3,3,9,9,6,9,8,9,11,5,4,4,4,4
"JICAMA",0,0,0,0,0,0,1,0,2,4,2,0,2,1,3
"JOJOBA",2,3,4,6,4,2,2,2,2,3,2,2,2,2,2
"JUJUBE",5,4,11,8,8,9,7,11,9,13,9,9,12,12,13
"JUNEBERRIES",0,0,9,14,15,17,21,21,20,29,23,25,24,21,26
"KAMUT",8,9,12,13,15,12,13,22,0,0,0,0,0,0,0
"KENAF",10,10,2,2,0,1,6,9,5,6,5,4,5,2,3
"KHORASAN",0,0,0,0,0,0,0,0,23,13,6,13,13,14,15
"KIWIBERRY",0,0,0,0,0,0,0,0,0,0,0,5,5,5,7
"KIWIFRUIT",20,21,35,38,38,39,39,35,34,32,32,30,23,22,27
"KOCHIA (PROSTRATA)",10,11,22,14,15,16,20,20,20,20,23,20,12,10,10
"KOHLRABI",79,77,124,146,124,116,137,142,138,138,110,92,117,114,98
"KOREAN GOLDEN MELON",11,8,17,14,6,2,7,6,5,1,2,2,6,5,8
"KUMQUATS",3,4,7,7,5,6,10,14,14,14,6,6,7,1,3
"LAMBS EAR",0,0,0,0,0,0,0,0,1,1,1,1,1,1,3
"LEEKS",78,72,123,119,96,104,111,121,110,94,75,68,93,99,83
"LEMONS",24,28,40,41,37,36,47,38,46,66,57,55,58,59,82
"LENTILS",77,118,146,115,88,78,107,163,182,130,101,89,83,99,108
"LESPEDEZA",180,172,185,160,147,140,142,128,133,128,134,122,119,118,109
"LESQUERELLA",1,2,2,2,2,0,0,0,0,0,0,0,0,0,0
"LETTUCE",383,404,650,640,543,469,556,599,553,554,511,518,542,512,588
"LIMES",8,7,15,15,16,14,22,18,20,33,31,32,45,46,45
"LONGAN",7,6,15,10,11,9,9,11,9,15,14,11,9,14,12
"LOQUATS",1,1,2,0,0,0,0,0,0,4,2,4,4,5,7
"LYCHEE",9,8,15,10,9,9,9,15,11,15,10,13,9,16,8
"MACADAMIA NUTS",1,3,5,3,1,1,0,4,2,5,2,0,0,0,0
"MANDARINS/TANGERINES",0,0,0,0,0,0,0,0,0,0,0,0,0,153,192
"MANGOS",11,10,15,18,15,13,15,14,14,24,14,17,13,27,16
"MANGOSTEEN",0,0,3,1,3,1,4,4,5,2,5,3,3,2,2
"MAPLE SAP",35,42,0,92,86,106,122,132,144,164,186,190,218,220,242
"MAYHAW BERRIES",3,5,3,3,6,3,7,9,15,15,18,17,13,15,15
"MEADOWFOAM",10,9,11,11,10,11,12,10,11,8,10,10,13,10,14
"MELONGENE",0,0,0,0,0,0,2,0,1,1,1,0,2,0,0
"MESPLE",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"MILKWEED",2,1,3,3,1,2,1,7,12,14,16,16,16,16,16
"MILLET",1608,1501,1779,1875,1945,1908,2024,2054,2069,2377,2748,2864,2424,2361,2468
"MIXED FORAGE",9843,10170,16686,15864,16227,16794,17918,19125,19253,19622,20014,20440,19948,19719,19899
"MOHAIR",0,0,3,1,0,1,0,1,0,0,0,2,0,1,0
"MOLLUSK",36,33,53,46,43,50,62,90,94,121,133,138,137,158,142
"MORINGA",0,0,0,0,0,0,0,0,0,0,3,1,6,8,6
"MULBERRIES",3,0,4,5,4,1,7,6,15,22,20,17,17,11,15
"MUSHROOMS",10,8,3,8,1,3,6,4,12,12,16,24,15,18,25
"MUSTARD",101,99,126,143,133,135,132,176,168,187,186,171,162,199,204
"NECTARINES",122,119,228,214,232,233,245,238,229,231,242,225,222,212,205
"NIGER SEED",3,1,0,1,0,0,0,0,0,0,0,1,2,1,2
"NONI",0,0,0,0,0,0,1,1,0,2,2,1,1,2,1
"null",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"NURSERY",598,591,895,823,777,750,813,796,767,849,729,755,763,729,708
"OATS",4711,4607,5819,5987,6036,5803,5903,5945,5438,5177,5405,5578,5084,4947,4871
"OKRA",304,293,430,408,359,295,322,355,330,318,291,299,294,296,333
"OLIVES",36,36,94,88,93,98,108,100,123,118,117,108,144,123,106
"ONIONS",981,1002,1812,1729,1581,1373,1510,1632,1505,1440,1352,1259,1364,1327,1378
"ORANGES",172,195,304,262,251,308,416,370,378,588,404,409,368,320,321
"PAPAYA",17,13,25,24,25,16,22,26,23,32,26,27,21,31,31
"PARSNIP",44,54,67,73,65,55,61,63,60,47,50,38,41,48,51
"PASSION FRUITS",4,4,9,11,10,10,11,7,15,14,15,19,13,21,22
"PAWPAW",0,0,0,0,0,0,6,10,11,14,13,17,18,18,21
"PEACHES",764,743,1155,1192,1224,1201,1262,1227,1234,1205,1204,1167,1108,1153,1174
"PEANUTS",532,528,878,924,878,855,853,923,965,869,843,883,827,791,886
"PEARS",390,394,596,565,592,575,622,639,652,651,645,628,624,630,662
"PEAS",2134,1989,2632,2725,2571,2421,2710,2581,2559,2447,2333,2394,2141,2085,2103
"PECANS",617,595,911,867,813,791,806,806,780,816,949,931,858,851,848
"PEJIBAYE (HEART OF PALM)",0,0,3,0,1,1,0,0,0,0,0,1,1,0,0
"PELT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PENNYCRESS",1,0,5,5,6,2,2,2,0,2,0,1,4,3,3
"PEPPERS",1611,1667,2692,2616,2499,2232,2522,2644,2443,2442,2287,2249,2486,2426,2604
"PERENNIAL PEANUTS",53,55,71,74,66,63,66,65,66,65,58,64,71,63,65
"PERIQUE TOBACCO",1,1,0,1,1,1,1,1,1,3,1,1,3,1,1
"PERSIMMONS",26,26,42,47,53,48,54,59,62,74,75,62,69,70,64
"PINE NUTS",0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
"PINEAPPLE",5,5,10,12,15,11,10,14,11,10,12,14,7,16,19
"PISTACHIOS",23,23,47,45,54,48,46,44,56,54,70,64,56,52,60
"PITAYA/DRAGONFRUIT",0,0,0,0,0,0,7,5,9,17,11,13,17,15,21
"PLANTAIN",19,19,32,29,30,24,23,30,31,34,35,34,30,30,32
"PLUMCOTS",11,15,31,27,30,33,32,35,29,40,34,36,37,40,40
"PLUMS",287,292,414,442,450,437,466,469,463,488,466,459,442,443,469
"POMEGRANATES",25,28,62,70,70,59,55,63,61,66,61,52,56,51,54
"POTATOES",1760,1801,2929,2913,2730,2659,2677,2759,2716,2623,2632,2610,2593,2664,2587
"POTATOES SWEET",390,408,622,619,555,507,619,717,670,627,553,571,554,521,505
"PRUNES",44,43,75,71,72,61,64,58,55,65,68,71,68,64,63
"PSYLLIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"PULASAN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PUMMELO",11,9,11,12,10,9,11,12,8,20,16,14,13,10,14
"PUMPKINS",2131,2035,2768,2671,2490,2361,2529,2734,2742,2617,2593,2597,2719,2707,2817
"QUINCES",7,6,8,9,9,14,13,11,13,7,13,13,11,13,14
"QUINOA",2,2,5,7,6,12,44,48,36,33,33,23,20,23,13
"RADISHES",228,254,425,467,460,490,546,551,377,367,326,314,346,320,333
"RAISINS",4,4,8,10,8,8,6,6,6,8,8,8,6,6,6
"RAMBUTAN",0,0,4,2,3,1,4,4,3,4,4,5,8,7,8
"RAPESEED",26,28,30,45,69,73,85,75,106,55,44,36,49,40,68
"RHUBARB",94,98,137,147,137,135,148,144,140,131,124,114,135,132,137
"RICE",339,265,661,450,628,650,853,730,773,649,922,835,851,794,753
"RICE  SWEET",0,0,0,0,0,0,0,0,18,16,23,21,23,18,0
"RICE  WILD",0,0,0,0,0,0,0,0,49,44,58,53,50,47,0
"RICE- Sweet",0,0,18,18,16,22,28,16,0,0,0,0,0,0,0
"RICE- Wild",0,0,44,37,36,39,45,49,0,0,0,0,0,0,0
"RICE, SWEET",9,8,0,0,0,0,0,0,0,0,0,0,0,0,15
"RICE, WILD",25,20,0,0,0,0,0,0,0,0,0,0,0,0,48
"RUTABAGA",40,38,58,61,52,38,48,54,47,56,48,54,47,58,51
"RYE",2624,2475,3336,3318,4042,3999,4163,4460,4032,3888,3862,3935,3894,3506,3615
"SAFFLOWER",169,184,189,211,205,165,174,155,139,138,148,144,125,130,129
"SALSIFY",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"SAPODILLA",5,4,7,7,6,4,5,7,6,6,7,9,9,13,7
"SAPOTE",7,6,11,10,12,8,8,10,12,14,11,9,9,11,9
"SCALLIONS",19,18,22,29,32,22,31,36,28,23,23,23,24,32,41
"SCHIZANDRA BERRIES",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SESAME",79,72,79,112,256,247,234,125,138,139,165,213,100,94,180
"SHALLOTS",19,19,42,45,26,31,40,51,45,45,35,36,53,54,52
"SHRUBS/FORBS",1,3,19,20,19,16,25,37,57,65,73,82,102,111,116
"SKIP ROWS",144,146,278,271,272,250,245,305,371,381,515,487,447,422,425
"SORGHUM",2295,2028,2763,2793,3167,3012,3301,2910,2668,2525,3048,3030,2919,2781,2882
"SORGHUM  DUAL PURPOSE",0,0,0,0,0,0,0,0,507,526,529,552,471,494,0
"SORGHUM FORAGE",2214,2017,2958,3067,3313,3240,3104,3013,2992,3225,3441,3292,3144,3221,3296
"SORGHUM-  DUAL PURPOSE",0,0,532,583,569,558,544,481,0,0,0,0,0,0,0
"SORGHUM, DUAL PURPOSE",372,295,0,0,0,0,0,0,0,0,0,0,0,0,470
"SOYBEANS",3875,3926,5450,4477,5580,5400,5927,5162,5448,5308,6391,5583,5320,5283,4894
"SPELT",0,0,0,0,0,0,0,0,189,177,158,188,209,157,165
"SPELTZ",221,209,237,204,211,199,200,226,0,0,0,0,0,0,0
"SPRITE MELON",6,4,9,3,5,5,4,1,1,0,1,0,1,0,0
"SQUASH",2279,2175,3433,3426,3091,2839,3122,3280,3132,3019,2843,2869,2925,2730,2802
"STAR GOOSEBERRY",0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
"STRAWBERRIES",805,778,1154,1105,1063,1035,1046,1042,1052,1061,993,1004,986,965,989
"SUGAR BEETS",191,213,372,354,378,337,329,321,338,346,348,324,310,372,299
"SUGARCANE",75,76,108,106,92,100,87,103,104,91,94,91,85,85,86
"SUNFLOWERS",1592,1598,1975,1838,1852,1759,1807,1685,1589,1579,1647,1967,1722,1834,1896
"SUNN HEMP",7,3,6,12,11,19,19,28,24,21,16,37,22,25,18
"TANGELOS",18,18,35,31,31,29,45,41,37,75,42,30,24,35,34
"TANGERINES",19,18,52,36,37,46,73,71,79,156,111,109,111,0,0
"TANGORS",0,0,0,0,0,0,0,0,0,2,2,2,2,2,4
"TANGOS",0,1,4,4,2,6,6,8,6,12,16,16,14,18,22
"TANNIER",17,20,22,25,18,19,25,20,20,17,30,28,18,21,24
"TARO",2,2,3,1,3,2,7,5,4,5,4,3,2,3,4
"TEA",2,2,3,2,2,1,2,2,0,1,4,2,5,3,6
"TEFF",129,114,147,171,259,313,380,456,482,566,708,804,686,598,613
"TEMPORARY",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TI",0,0,1,1,0,0,1,1,0,0,0,0,0,1,2
"TOBACCO  CIGAR WRAPPER",0,0,0,0,0,0,0,0,4,6,39,90,80,80,0
"TOBACCO BURLEY",292,294,322,296,324,274,289,247,231,211,242,205,184,162,153
"TOBACCO BURLEY 31V",0,1,8,8,5,1,2,1,0,1,6,4,3,1,3
"TOBACCO CIGAR BINDER",5,6,9,6,7,8,9,8,9,11,20,35,25,24,23
"TOBACCO CIGAR FILLER",3,2,2,2,1,1,2,1,1,4,12,46,39,28,31
"TOBACCO CIGAR FILLER BINDER",8,8,5,4,5,6,6,5,5,6,10,13,12,12,7
"TOBACCO DARK AIR CURED",39,40,52,42,43,41,43,42,43,48,56,55,53,51,49
"TOBACCO FIRE CURED",26,24,28,31,33,34,30,31,28,29,28,35,31,31,30
"TOBACCO FLUE CURED",147,132,216,208,206,213,223,221,223,223,191,203,185,168,165
"TOBACCO MARYLAND",7,6,21,7,5,12,12,5,3,4,7,21,18,11,15
"TOBACCO VIRGINIA FIRE CURED",16,15,23,21,20,19,20,20,19,18,19,21,22,17,15
"TOBACCO VIRGINIA SUN CURED",1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"TOBACCO-  CIGAR WRAPPER",0,0,5,4,2,3,2,3,0,0,0,0,0,0,0
"TOBACCO, CIGAR WRAPPER",6,6,0,0,0,0,0,0,0,0,0,0,0,0,69
"TOMATILLOS",46,45,85,72,85,66,85,92,85,89,69,73,92,102,98
"TOMATOES",1411,1455,2219,2165,1920,1885,1997,2075,2078,2017,1897,1842,1913,1986,1994
"TREES  TIMBER",0,0,0,0,0,0,0,0,2052,1998,2025,1999,1952,1976,0
"TREES- Timber",0,0,1863,1837,1861,1843,2006,2031,0,0,0,0,0,0,0
"TREES, TIMBER",1226,1221,0,0,0,0,0,0,0,0,0,0,0,0,1983
"TRITICALE",1301,1260,1698,1715,2016,2217,2372,2500,2419,2562,2574,2673,2747,2691,2761
"TRUFFLES",0,1,6,4,4,2,4,5,4,4,6,5,1,3,3
"TURN AREAS",894,879,1671,1442,1389,1271,1623,1693,0,0,0,0,0,0,0
"TURNIPS",182,158,274,258,268,251,251,319,237,234,194,197,180,184,201
"VANILLA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"VETCH",98,101,102,122,114,83,108,137,121,102,103,91,79,74,83
"WALNUTS",96,99,141,150,160,151,161,162,168,185,189,178,159,151,152
"WAMPEE",1,1,1,1,2,1,2,3,3,3,3,3,3,3,3
"WASABI",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"WATER CRESS",4,6,11,5,8,4,7,5,8,3,2,3,1,0,2
"WATER IMPOUNDMENT STRUCTURE",71,65,139,134,132,131,151,169,166,168,161,167,157,145,140
"WATERBANK",35,26,22,24,42,31,42,48,45,40,45,47,47,47,50
"WATERMELON",1548,1460,2412,2308,2152,1931,1947,2069,2065,1897,1778,1804,1773,1710,1799
"WAX JAMBOO FRUIT",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"WETLAND BANK RESERVE",27,24,22,21,24,27,26,21,20,21,21,23,29,30,28
"WETLAND RESERVE PROGRAM",476,488,767,841,797,805,885,894,901,907,920,932,929,926,909
"WHEAT",8048,8242,11752,10725,11234,11105,11090,10948,9930,9595,10080,9578,8987,9216,9287
"WILDLIFE FOOD PLOT",1714,1704,2074,2015,1978,1947,2016,1979,1994,1983,1936,1902,1880,1862,1849
"WILDLIFE HABITAT INCENTIVE PRO",118,103,0,0,0,0,0,0,0,0,0,0,0,0,0
"WILDLIFE HABITAT INCENTIVE PROGRAM",0,0,192,189,174,153,162,140,122,111,100,107,97,89,73
"WILLOW SHRUB",0,0,0,0,0,0,9,11,8,6,7,9,9,10,12
"WINTER MELON",0,0,0,0,0,0,0,0,0,0,0,2,1,2,4
"WOLFBERRY/GOJI",0,0,0,0,0,0,1,1,9,5,7,5,6,9,10
"WOODLAND/NATIVE UNDERSTORY",0,0,0,0,14,58,86,75,72,61,51,58,43,48,46
"WOOL",3,4,0,0,0,0,0,0,0,0,0,1,0,2,1
"YAM",17,18,27,22,19,15,24,18,23,19,21,18,22,20,14
"YU CHA",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
