"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"BLUEGRASS, ALPINE",19,6,0,0,0,0,0,0,0,0
"BLUEJOINT",4,4,8,11,6,7,9,12,10,9
"BLUEJOINT REEDGRASS",1,1,3,1,1,2,2,1,1,0
"BLUESTEM  CAUCASIAN",0,0,0,0,0,0,0,0,23,33
"BORAGE",1,4,3,1,3,1,8,3,5,4
"BOSC PEARS",42,45,71,68,69,65,66,65,61,67
"BOSIOSKI WILD RYE",39,39,41,49,49,51,53,49,50,48
"BOSTON",25,23,37,32,21,20,26,25,22,23
"BOTTLEBRUSH SQUIRRELTAIL BUNCH",7,9,13,17,10,7,3,6,0,0
"BOTTLEBRUSH SQUIRRELTAIL BUNCHGRS",0,0,0,0,0,0,0,0,5,8
"BOYSENBERRIES",10,9,16,19,16,18,22,22,25,17
"BRASSICAS AND OTHER BROADLEAVES",0,0,0,0,0,0,0,0,220,218
"BRAZILIAN",0,0,0,0,0,0,0,1,1,0
"BRIANNA",28,27,42,47,52,57,66,73,73,73
"BROADLEAF SIGNAL",2,0,6,6,6,7,6,5,3,5
"BROWN",5,4,5,5,8,7,11,10,11,16
"BROWN TURKEY",2,1,10,8,11,13,12,16,23,26
"BRUSH HILLS",3,8,15,21,23,25,19,29,33,34
"BSC",0,0,0,0,0,0,7,22,0,0
"BU CHOO/GARLIC CHIVES",2,1,0,6,2,0,3,1,3,0
"BUFFALO",104,90,123,117,125,120,116,120,116,120
"BUFFALO/RUBIANA",2,3,1,2,2,2,3,1,2,2
"BUFFEL",46,44,79,62,60,59,59,62,65,61
"BUNCHING",17,24,43,38,25,25,40,38,26,36
"BUPLEURUM",0,1,1,1,0,0,0,0,3,4
"BURDOCK",2,4,3,2,2,0,0,0,0,2
"BURGER",3,3,6,6,7,5,5,4,4,4
"BUSH CLOVER",3,3,2,1,1,0,0,4,4,2
"BUTTER",153,132,187,154,140,125,141,146,128,126
"BUTTERCUP",78,79,144,163,116,117,127,132,106,123
"BUTTERFLY MILKWEED",3,3,3,1,2,2,3,4,8,10
"BUTTERHEAD",17,29,30,32,24,30,36,54,33,37
"BUTTERNUT SQUASH",223,221,375,352,337,313,337,388,368,342
"BVE",0,0,0,0,0,0,0,24,0,0
"CABERNET",40,37,85,74,89,78,89,81,81,93
"CABERNET FRANC",78,73,125,134,147,171,172,168,170,169
"CABERNET PFEFFER",1,0,1,2,3,3,0,0,2,0
"CABERNET SAUVIGNON",102,94,181,170,170,213,212,208,212,201
"CACAO",0,0,0,0,0,0,0,1,1,0
"CAF",0,0,0,0,0,0,0,5,0,0
"CALAMONDIN",0,1,2,2,4,0,6,4,4,4
"CALENDULA",0,0,0,0,0,0,0,0,7,5
"CALEY",3,3,4,2,1,4,0,2,0,0
"CALIFORNIA (PARA)",1,0,2,2,1,2,2,3,5,3
"CALIFORNIA BROME",9,9,54,30,34,29,29,29,27,23
"CALIFORNIA OAT",2,3,4,2,2,2,1,4,5,3
"CALIMYRNA",2,2,4,0,1,0,2,0,0,0
"CALLA LILY",1,2,3,1,1,3,3,9,3,3
"CALLADIUM",3,1,2,0,2,3,2,2,2,4
"CALMERIA",3,2,3,4,5,4,3,2,2,2
"CAMBELL",1,1,1,0,2,3,2,0,0,0
"CAMELINA",92,79,76,0,0,0,0,0,0,0
"CAMOMILE",4,4,7,6,11,6,2,4,8,9
"CAMPANELLE",0,0,1,2,0,0,0,0,0,6
"CANAAN FIR",36,39,46,41,43,48,56,70,67,66
"CANADIAN BLUEGRASS",6,6,18,12,12,8,13,11,9,10
"CANADIAN MILKVETCH",1,1,2,3,3,4,3,2,2,2
"CANADIAN WILD RYEGRASS",23,20,20,20,11,11,8,13,19,19
"CANADICE",14,10,15,12,15,15,18,13,13,11
"CANARIO - YELLOW",15,12,0,23,34,22,25,25,33,23
"CANARIO  YELLOW",0,0,22,0,0,0,0,0,0,0
"CANARY",197,183,351,297,291,319,320,331,325,334
"CANBY",5,5,5,3,3,1,3,1,2,2
"CANDY TUFT",1,0,2,2,2,2,2,2,2,0
"CANE",577,467,691,706,795,742,742,672,687,739
"CANNA LILY",4,2,6,3,3,2,2,2,2,3
"CARAWAY",0,0,0,1,1,0,0,0,0,0
"CARDINAL",1,1,5,5,7,6,4,2,2,0
"CARDOON",0,0,2,4,1,1,0,0,0,0
"CAREX (WILDLIFE COVER)",0,0,4,4,3,2,3,5,5,4
"CARIGNANE",8,5,15,15,15,15,13,12,11,9
"CARINATA/ETHIOPIAN MUSTARD  FALL",0,0,0,0,0,0,0,0,38,24
"CARINATA/ETHIOPIAN MUSTARD  SPRING",0,0,0,0,0,0,0,0,13,3
"CARMENET",3,3,5,7,7,9,11,15,7,9
"CARMINE",0,0,2,4,4,5,5,5,5,8
"CARNATION/DIANTHUS",0,2,13,2,2,0,0,2,5,6
"CARNELIAN",3,3,6,8,8,4,2,2,0,0
"CAROLINA SAPHIRE",1,1,0,1,4,1,2,4,3,7
"CARPET",0,0,0,0,0,0,0,0,4,0
"CARPET OF SNOW",0,0,1,2,2,1,0,2,0,2
"CARYOPTERIS",0,0,0,1,0,0,1,0,0,2
"CAS",0,0,0,0,0,0,1,8,0,0
"CASCADE",3,3,0,0,0,0,0,0,0,0
"CASCADEBERRIES",0,0,0,3,0,0,2,0,0,2
"CASTEL",1,1,1,1,1,1,1,1,1,2
"CASTOR",4,4,3,11,5,3,4,1,1,1
"CATAWBA",33,29,44,40,42,50,64,54,55,55
"CATCHFLY",0,0,2,2,0,0,0,0,2,0
"CATNIP",5,3,8,9,7,8,5,9,11,10
"CAVENDISH",4,3,6,5,3,2,5,3,5,7
"CAYENNE",48,56,81,79,88,61,76,71,70,60
"CAYUGA",33,30,44,43,50,63,62,73,64,60
"CELESIA",3,3,4,0,4,3,3,2,7,1
"CELOSIA PLUME",5,6,11,7,10,5,9,5,4,11
"CENTAUREA",2,1,3,2,1,3,3,4,3,0
"CENTAUREA BLACK MAGIC",0,0,0,0,2,0,0,0,0,0
"CENTIPEDE",123,113,176,164,149,140,120,149,142,135
"CENTRANTHUS",0,0,0,0,0,0,0,0,0,2
"CEREALS AND OTHER GRASSES",0,0,0,0,0,0,0,0,1081,1188
"CHAMBOURCIN",65,62,79,90,111,134,137,127,124,128
"CHANCELLOR",17,16,18,14,19,17,17,16,14,13
"CHANNEL CATFISH",68,67,115,107,109,90,99,97,91,86
"CHARDONEL",27,26,35,39,43,47,56,51,45,48
"CHARDONNAY",144,152,227,225,226,256,240,231,227,226
"CHAYOTE",2,3,4,2,5,9,5,6,1,5
"CHELOIS",3,4,5,5,4,5,7,7,7,10
"CHENIN BLANC",22,23,43,33,34,45,35,29,30,24
"CHERIMOYA",2,1,0,0,0,0,0,0,0,0
"CHEROKEE",5,4,9,12,14,16,13,11,13,13
"CHERRY",146,161,224,223,211,197,226,270,247,269
"CHERRY EGGPLANT",40,50,48,62,51,30,43,28,26,26
"CHERVIL",3,4,4,3,3,2,4,7,2,0
"CHESTER BLACKBERRIES",89,79,137,128,130,127,143,144,128,125
"CHICKASAW",9,5,9,6,3,4,4,6,5,6
"CHICKLING (VETCH)",16,14,9,14,21,11,14,12,12,17
"CHILACA",0,0,2,0,0,0,2,3,0,2
"CHINA",14,9,2,2,6,9,8,8,6,5
"CHINESE",24,24,25,25,23,23,33,29,26,19
"CHINESE CARP",0,1,6,6,6,4,6,2,2,4
"CHINESE CATFISH",3,2,3,6,9,6,8,12,6,6
"CHINESE LANTERN PLANT",0,0,1,3,2,1,9,6,9,7
"CHINESE MUSTARD",16,19,33,22,14,13,18,17,22,15
"CHINESE OKRA",8,5,9,12,13,5,7,5,9,5
"CHINESE PUMPKINS",8,8,12,11,8,7,8,16,17,14
"CHINESE SPINACH/AMARANTH",8,13,18,21,17,15,12,12,10,11
"CHINESE STRING",2,6,5,4,0,0,3,5,1,0
"CHIVES",23,29,28,36,24,23,32,28,29,31
"CHOCKCHERRY",4,3,9,11,8,8,9,6,5,12
"CHOY SUM CABBAGE",43,46,60,64,35,38,49,38,39,44
"CHRISTMAS ROSE",2,2,2,2,2,2,2,0,0,0
"CHRYSANTHEMUM",81,62,99,83,76,77,80,67,75,64
"CHURCH",1,1,1,0,0,0,1,1,1,2
"CICER MILKVETCH",5,6,5,5,7,6,7,7,6,10
"CIGAR BINDER (051)",5,5,7,5,6,6,6,5,0,0
"CIGAR BINDER (052)",0,1,2,1,1,2,3,3,0,0
"CIGAR FILLER BINDER (054)",5,5,2,1,2,2,3,2,0,0
"CIGAR FILLER BINDER (055)",3,3,3,3,3,4,3,3,0,0
"CIGAR FILLER TOBACCO (041)",3,2,2,2,1,1,2,1,0,0
"CILANTRO/CORIANDER",88,102,149,162,145,143,170,179,131,132
"CIN",0,0,0,0,0,0,35,53,0,0
"CINDERELLA",0,0,0,0,0,0,0,0,72,74
"CINSAUT",3,4,8,8,15,17,15,13,13,13
"CIRISIUM",0,0,2,0,1,0,0,0,0,0
"CLARY SAGE",2,2,5,9,11,14,16,16,20,15
"CLD",0,0,0,2,0,2,4,9,0,0
"CLEMATIS",0,0,0,0,0,0,0,0,0,2
"CLING PEACHES",260,255,321,337,337,313,335,305,302,277
"CLINTON",1,1,1,1,1,1,1,1,1,1
"COASTAL BERMUDA",1182,1173,1731,1604,1573,1532,1544,1581,1620,1631
"COCKSCOMB",3,5,8,8,7,3,4,2,5,4
"COLEUS",2,1,0,1,0,0,0,0,1,0
"COLLARDS",199,201,294,269,242,241,264,275,274,239
"COLOBEL",1,2,5,3,5,7,4,4,3,3
"COLONIAL BENTGRASS",6,5,29,16,9,10,7,10,6,6
"COLORADO BLUE SPRUCE",46,40,51,45,49,57,51,42,43,41
"COLUMBARD FRENCH",15,13,27,21,21,22,18,17,15,14
"COM",0,0,0,131,149,160,179,183,0,0
"COMICE",3,4,25,17,18,14,12,14,16,15
"COMMON",7552,7470,10293,9101,9884,9406,10141,9327,9804,9516
"COMMON BERMUDA",1349,1321,1998,1827,1813,1814,1845,1917,1936,1900
"COMMON HYSSOP",0,1,4,3,0,0,2,2,1,1
"COMMON KALE",117,129,208,231,251,263,319,386,347,297
"COMMON VETCH",39,44,54,48,47,32,40,58,53,44
"COMPASS PLANT",0,1,11,12,11,7,7,8,5,6
"CON",0,0,0,0,0,1,57,55,0,0
"CONCOLOR FIR",24,24,34,36,38,37,42,54,54,57
"CONCORD",218,214,269,257,268,259,277,273,266,254
"CONEFLOWER- CLASPING",0,0,0,3,1,2,0,0,0,0
"CONEFLOWER- PINNATA PRAIRIE",0,0,0,2,2,0,1,0,0,0
"CONEFLOWER- YELLOW PRAIRIE",0,0,0,8,3,4,0,2,0,0
"CONEFLOWER  CLASPING",0,0,0,0,0,0,0,0,2,2
"CONEFLOWER  YELLOW PRAIRIE",0,0,0,0,0,0,0,0,7,3
"CONEFLOWER CLASPING",0,0,1,0,0,0,0,0,0,0
"CONEFLOWER PINNATA PRAIRIE",0,0,4,0,0,0,0,0,0,0
"CONEFLOWER YELLOW PRAIRIE",0,0,11,0,0,0,0,0,0,0
"CONEFLOWER, PINNATA PRAIRIE",0,1,0,0,0,0,0,0,0,0
"CONEFLOWER, YELLOW PRAIRIE",3,1,0,0,0,0,0,0,0,0
"CONEFLOWERS",13,15,20,16,9,12,9,14,25,24
"CONFECTIONERY - SUNFLOWER",579,628,0,670,705,677,655,549,481,448
"CONFECTIONERY  SUNFLOWER",0,0,706,0,0,0,0,0,0,0
"CONOIL",0,0,0,0,0,0,0,0,56,70
"CONTAINER",141,152,215,187,148,160,183,180,194,219
"COR",0,0,0,0,0,1,0,1,0,0
"COREOPSIS",4,4,9,7,6,4,3,8,13,10
"CORN NUTS",4,3,9,2,10,4,10,16,10,8
"CORNFLOWER",7,7,2,1,2,3,2,4,5,3
"COROT NOIR",5,5,7,11,13,21,21,25,21,20
"CORVINA",0,0,0,0,0,0,0,0,1,1
"COSMOS",15,14,16,5,11,8,12,16,15,14
"COUNOISE",4,4,9,6,6,6,6,10,8,8
"COVINGTON",33,41,99,96,108,112,112,150,136,132
"COW",167,130,113,149,152,148,201,149,162,171
"CP1 EST PERM INTRO GRASS AND LEGUME",0,0,0,0,1620,1596,1581,1591,0,0
"CP10 VEG COVER, GRASS ALREADY EST",0,0,0,0,1959,1854,1833,1815,0,0
"CP11 VEG COVER, TREES ALREADY EST",0,0,0,0,1331,1242,1225,1191,0,0
"CP12 WILDLIFE(WL) FOOD PLOT",0,0,0,0,1404,1389,1374,1303,0,0
"CP13 VEG FILTER STRIPS",0,0,0,0,46,37,32,27,0,0
"CP13A VEG FILTER STRIPS (GRASS)",0,0,0,0,26,22,17,10,9,7
"CP13B VEG FILTER STRIPS (TREES)",0,0,0,0,2,1,3,3,3,3
"CP13C VEG FILTR STRIP GRASS NONEASE",0,0,0,0,12,13,11,9,8,8
"CP13D VEG FILT STRIPS TREES NONEASE",0,0,0,0,7,6,5,4,3,3
"CP14 BOTTOMLAND TIMBR EST ON WETLDS",0,0,0,0,10,8,7,6,0,0
"CP15 EST PERM VEG CVR CONTOUR STRPS",0,0,0,0,77,71,64,60,0,0
"CP15A EST CONTR GRASS STRPS NONEASE",0,0,0,0,311,305,296,294,294,280
"CP15B EST CONTR GRAS STRP ON TERRAC",0,0,0,0,120,114,112,116,116,114
"CP16 SHELTERBELT EST",0,0,0,0,129,128,122,108,0,0
"CP16A SHELTERBELT EST NONEASE",0,0,0,0,551,542,545,530,514,505
"CP17 LIVING SNOW FENCE",0,0,0,0,38,35,33,30,0,0
"CP17A LIVING SNOW FENCE NONEASE",0,0,0,0,253,254,258,258,250,238
"CP18 EST PERM VEG REDUCE SALINITY",0,0,0,0,32,34,32,31,0,0
"CP18A EST PERM SALT TOL VEG CVR",0,0,0,0,34,34,33,29,25,21
"CP18B EST PERM VEG REDUC SAL NONEAS",0,0,0,0,63,63,62,68,66,67
"CP18C EST PERM SALT TOL VEG CVR NON",0,0,0,0,120,117,114,122,120,114
"CP19 ALLEY CROPPING",0,0,0,0,3,1,3,2,0,0
"CP2 EST PERM NATIVE GRASSES",0,0,0,0,1694,1671,1651,1622,0,0
"CP20 ALTERNATE PERENNIAL",0,0,0,0,32,29,28,29,0,0
"CP21 FILTER STRIPS",0,0,0,0,1601,1566,1580,1593,0,0
"CP22 RIPARIAN BUFFER",0,0,0,0,2089,2064,2096,2110,0,0
"CP23 WETLAND RESTORATION",0,0,0,0,971,938,920,907,0,0
"CP23A WETLAND RESTOR NONFLOODPL",0,0,0,0,472,487,512,556,570,585
"CP24 EST PERM VEG CVR CROSS WIND TR",0,0,0,0,38,33,27,26,0,0
"CP25 RARE AND DECLINING HABITAT",0,0,0,0,746,742,740,737,0,0
"CP26 SEDIMT RETN CONTRL STRUCTR MI",0,0,0,0,15,10,6,7,0,0
"CP27 FWP WETLAND",0,0,0,0,411,425,434,445,0,0
"CP28 FWP BUFFER",0,0,0,0,410,419,430,433,0,0
"CP29 MPL WL HABITAT BUFFER",0,0,0,0,597,598,608,619,0,0
"CP3 TREE PLANTING",0,0,0,0,1124,1106,1085,1058,0,0
"CP30 MPL WETLAND BUFFER",0,0,0,0,431,420,422,421,0,0
"CP31 BOTTOMLAND TIMBR EST ON WETLD",0,0,0,0,320,320,340,359,0,0
"CP32 EXPIRED HARDWOOD TREES",0,0,0,0,152,151,154,122,0,0
"CP33 HABITAT BUFRS UPLAND BIRDS",0,0,0,0,1064,1070,1089,1093,0,0
"CP34 FLOOD CONTROL SYSTEM",0,0,0,0,15,13,13,9,0,0
"CP35A EFCRP LONGLEAF PINE NEW",0,0,0,0,37,36,36,33,33,20
"CP35B EFCRP LONGLEAF PINE EXIST",0,0,0,0,15,15,16,17,18,15
"CP35C EFCRP BOTTMLD HDWD NEW",0,0,0,0,37,40,44,44,45,24
"CP35D EFCRP BOTTMLD HDWD EXIST",0,0,0,0,38,40,44,42,44,32
"CP35E EFCRP SOFTWOOD NEW",0,0,0,0,78,84,94,96,93,85
"CP35F EFCRP SOFTWOOD EXIST",0,0,0,0,48,51,51,52,51,36
"CP35G EFCRP UPLAND HDWD NEW",0,0,0,0,21,24,23,24,22,6
"CP35H EFCRP UPLAND HDWD EXIST",0,0,0,0,22,24,24,24,22,11
"CP35I EFCRP MIXED TREES EXIST",0,0,0,0,48,49,53,51,49,36
"CP36 LONGLEAF PINE EST",0,0,0,0,185,184,194,203,0,0
"CP37 DUCK NESTING HABITAT",0,0,0,0,145,138,141,144,0,0
"CP38A SAFE BUFFERS",0,0,0,0,119,104,96,93,86,84
"CP38B SAFE WETLANDS",0,0,0,0,75,86,90,95,95,112
"CP38C SAFE TREES",0,0,0,0,125,127,137,142,145,152
"CP38D SAFE LONGLEAF PINE",0,0,0,0,14,13,13,13,11,17
"CP38E SAFE GRASS",0,0,0,0,927,973,1034,1092,1101,1178
"CP39 FWP CONSTRUCTED WETLAND",0,0,0,0,20,23,24,22,0,0
"CP3A HARDWOOD TREE PLANTING",0,0,0,0,1174,1174,1151,1131,1126,1088
"CP4 PERMANENT WL HABITAT",0,0,0,0,299,260,231,194,0,0
"CP40 FWP AQUACULTURE WETLD RESTOR",0,0,0,0,46,46,45,48,0,0
"CP41 FWP FLOODED PRAIRIE WETLD",0,0,0,0,59,62,67,74,0,0
"CP42 POLLINATOR HABITAT",0,0,0,0,638,725,802,904,0,0
"CP4A PERM WL HABITAT (CORRIDOR)",0,0,0,0,47,36,26,26,21,19
"CP4B PERM WL (CORRIDOR) NONEASE",0,0,0,0,144,136,120,119,105,89
"CP4D PERM WL HABITAT NONEASE",0,0,0,0,1335,1316,1278,1288,1244,1202
"CP5 FIELD WINDBREAK EST",0,0,0,0,222,215,208,197,0,0
"CP5A FIELD WINDBREAK NONEASE",0,0,0,0,754,748,749,761,739,715
"CP6 DIVERSIONS",0,0,0,0,12,8,6,6,0,0
